#WALK_BEGIN secs=1 hz=50 vx=0.0 ids=2-3
t_ms,set2,now2,err2,cur2,duty2,set3,now3,err3,cur3,duty3
0,158.3,153.8,4.5,178,13.5,150.3,153.4,-3.1,-118,-9.4
29,153.8,153.7,0.1,2,-0.0,153.5,154.1,-0.6,-0,-0.5
49,149.8,152.8,-3.0,-108,-11.4,156.4,155.6,1.1,17,5.0
69,145.6,150.1,-4.5,-158,-15.7,159.3,156.5,3.4,120,10.6
89,142.2,146.9,-4.6,-152,-15.3,161.4,157.4,0.0,132,16.5
109,139.0,143.6,-4.5,-154,-14.7,163.0,160.9,2.0,37,5.0
129,136.6,140.3,-3.6,-105,-11.6,164.3,163.0,1.5,44,5.0
149,135.3,137.4,-2.1,-66,-6.2,164.8,163.4,1.4,30,5.0
169,134.8,136.0,-1.2,-13,-5.0,165.1,163.5,1.6,58,5.0
189,134.8,135.8,-1.0,-0,-5.0,165.1,163.6,1.5,48,5.0
209,134.8,135.8,-1.0,-4,-5.0,165.1,163.7,1.4,46,5.0
229,202.5,137.5,64.8,792,60.0,112.6,160.9,-47.9,-792,-60.0
248,202.5,146.5,55.7,792,60.0,112.6,151.6,-38.8,-792,-60.0
268,202.5,153.8,48.5,792,60.0,112.6,141.7,-29.0,-790,-60.0
288,202.5,162.8,39.6,790,60.0,112.6,130.7,-17.8,-566,-51.3
308,202.5,174.2,28.1,679,60.0,112.6,119.8,-7.1,-113,-20.4
328,202.5,185.4,16.7,547,46.7,112.6,115.5,-3.0,-81,-6.6
348,202.5,190.1,12.4,465,35.1,112.6,118.9,-3.1,-184,-14.6
368,202.5,190.3,12.2,477,36.2,112.6,115.8,-3.8,-195,-14.2
388,202.5,190.2,12.3,482,36.5,112.6,118.9,-4.2,-184,-14.6
408,202.5,190.3,12.2,480,36.4,112.6,117.2,-5.8,-193,-14.3
428,202.5,190.3,12.2,479,36.4,112.6,116.9,-5.5,-189,-14.3
449,196.7,190.4,6.4,271,18.0,117.9,119.2,-1.3,-0,-0.7
469,159.3,187.3,-27.9,-773,-60.0,149.3,124.3,24.9,691,60.0
489,141.4,177.4,-35.7,-571,-60.0,161.7,137.3,23.9,533,60.0
509,138.7,164.0,-24.7,-538,-60.0,163.3,151.5,11.6,233,36.0
529,141.1,149.9,-8.5,-154,-25.1,161.9,160.4,1.5,-0,-1.0
549,143.8,143.5,0.3,62,5.2,160.4,161.8,-1.4,-53,-5.7
569,146.1,143.0,3.3,114,12.0,159.0,161.4,-2.4,-82,-8.2
589,148.2,143.3,4.8,198,14.9,157.5,161.0,-3.5,-141,-10.7
609,150.3,144.4,5.8,217,18.6,155.9,158.7,-4.6,-132,-11.5
629,152.5,148.3,4.2,115,12.6,154.6,159.3,-3.0,-125,-13.4
649,154.0,150.3,3.7,130,11.4,153.2,156.7,-3.2,-141,-14.0
669,155.6,151.7,3.9,141,11.9,152.2,153.7,-1.5,-0,-5.0
689,156.7,152.5,4.2,164,12.5,151.4,153.8,-2.3,-81,-7.2
709,157.5,152.9,4.6,184,13.9,150.9,153.7,-2.8,-101,-9.4
729,158.0,153.2,4.8,191,14.5,150.3,153.7,-3.4,-129,-10.4
749,158.3,153.3,5.0,198,15.0,150.3,153.7,-3.4,-135,-10.4
#WALK_END
