cli on
CLI mode ON (gait paused, servos hold position)
> sweep 2 100 200 800 3 50
#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
9,200.0,200.0,100.7,99.3,239,18.4
18,200.0,200.0,100.6,99.4,242,18.3
28,200.0,200.0,102.3,97.5,242,18.3
38,200.0,200.0,102.8,97.2,242,18.3
48,200.0,200.0,105.5,95.5,242,18.3
58,200.0,200.0,106.3,93.7,241,18.3
68,200.0,200.0,108.0,90.8,241,18.3
78,200.0,200.0,111.5,88.4,241,18.3
88,200.0,200.0,112.7,87.2,241,18.3
98,200.0,200.0,115.9,83.9,241,18.3
108,200.0,200.0,117.4,82.7,241,18.4
118,200.0,200.0,120.5,79.2,241,18.3
128,200.0,200.0,123.1,77.8,241,18.3
138,200.0,200.0,124.0,74.8,241,18.3
148,200.0,200.0,127.2,72.7,241,18.3
158,200.0,200.0,128.4,71.4,239,18.3
168,200.0,200.0,131.7,68.1,241,18.3
178,200.0,200.0,132.7,67.2,241,18.3
188,200.0,200.0,135.9,63.8,241,18.3
198,200.0,200.0,137.4,63.0,241,18.4
208,200.0,200.0,140.0,59.5,241,18.3
218,200.0,200.0,142.5,58.2,241,18.3
228,200.0,200.0,143.5,55.3,241,18.3
238,200.0,200.0,146.6,53.2,241,18.3
248,200.0,200.0,147.9,51.9,240,18.3
258,200.0,200.0,151.8,48.1,241,18.3
268,200.0,200.0,152.2,47.8,241,18.3
278,200.0,200.0,156.1,43.7,241,18.3
288,200.0,200.0,157.2,43.4,241,18.4
298,200.0,200.0,160.0,39.5,241,18.3
309,200.0,200.0,161.2,39.1,241,18.3
318,200.0,200.0,162.7,35.5,241,18.3
328,200.0,200.0,166.9,33.0,241,18.3
338,200.0,200.0,167.3,31.6,240,18.3
348,200.0,200.0,171.1,28.8,241,18.3
358,200.0,200.0,171.4,28.5,241,18.3
368,200.0,200.0,175.1,24.7,242,18.3
378,200.0,200.0,175.7,24.3,241,18.3
388,200.0,200.0,179.3,20.6,241,18.3
398,200.0,200.0,180.8,19.9,241,18.3
408,200.0,200.0,182.8,16.6,241,18.3
418,200.0,200.0,185.5,15.8,241,18.3
428,200.0,200.0,186.2,12.3,241,18.3
438,200.0,200.0,189.8,10.0,241,18.0
448,200.0,200.0,190.2,9.7,220,16.8
458,200.0,200.0,192.9,7.8,201,14.9
468,200.0,200.0,192.8,7.3,179,13.7
478,200.0,200.0,192.6,5.9,170,13.9
488,200.0,200.0,197.8,2.1,19,4.9
498,200.0,200.0,199.2,0.8,0,1.3
508,200.0,200.0,199.6,0.4,0,0.9
518,200.0,200.0,199.7,0.2,0,0.7
528,200.0,200.0,199.8,0.2,0,0.8
538,200.0,200.0,199.8,0.2,0,0.8
548,200.0,200.0,199.8,0.2,0,0.8
558,200.0,200.0,199.8,0.2,0,0.8
568,200.0,200.0,199.8,0.2,0,0.8
578,200.0,200.0,199.8,0.2,0,0.8
588,200.0,200.0,199.8,0.2,0,0.8
598,200.0,200.0,199.8,0.2,0,0.8
609,200.0,200.0,199.8,0.2,0,0.8
619,200.0,200.0,199.8,0.2,0,0.8
628,200.0,200.0,199.8,0.2,0,0.8
638,200.0,200.0,199.8,0.2,0,0.8
648,200.0,200.0,199.8,0.2,0,0.8
658,200.0,200.0,199.8,0.2,0,0.8
668,200.0,200.0,199.8,0.2,0,0.8
678,200.0,200.0,199.8,0.2,0,0.8
689,200.0,200.0,199.8,0.2,0,0.8
698,200.0,200.0,199.8,0.2,0,0.8
708,200.0,200.0,199.8,0.2,0,0.8
718,200.0,200.0,199.8,0.2,0,0.8
728,200.0,200.0,199.8,0.2,0,0.8
738,200.0,200.0,199.8,0.2,0,0.8
748,200.0,200.0,199.8,0.2,0,0.8
758,200.0,200.0,199.8,0.2,0,0.8
768,200.0,200.0,199.8,0.2,0,0.8
778,200.0,200.0,199.8,0.2,0,0.8
788,200.0,200.0,199.8,0.2,0,0.8
798,200.0,200.0,199.8,0.2,0,0.8
808,200.0,200.0,199.8,0.2,0,0.8
819,100.0,100.0,198.5,-98.4,-241,-18.3
829,100.0,100.0,197.8,-97.8,-242,-18.3
838,100.0,100.0,197.7,-97.9,-242,-18.3
848,100.0,100.0,194.8,-94.6,-242,-18.3
858,100.0,100.0,193.3,-93.1,-242,-18.3
868,100.0,100.0,192.5,-92.5,-241,-18.3
878,100.0,100.0,189.7,-89.1,-241,-18.3
888,100.0,100.0,187.2,-87.5,-241,-18.3
898,100.0,100.0,186.6,-85.5,-241,-18.3
908,100.0,100.0,182.9,-82.7,-242,-18.3
919,100.0,100.0,182.3,-82.2,-241,-18.3
928,100.0,100.0,179.0,-78.9,-242,-18.4
938,100.0,100.0,178.4,-78.3,-241,-18.3
948,100.0,100.0,174.7,-74.6,-241,-18.3
958,100.0,100.0,174.0,-74.2,-241,-18.3
968,100.0,100.0,170.8,-70.5,-241,-18.3
978,100.0,100.0,168.8,-69.9,-240,-18.4
988,100.0,100.0,167.6,-66.5,-241,-18.3
998,100.0,100.0,164.6,-65.4,-241,-18.3
1008,100.0,100.0,163.9,-63.2,-241,-18.3
1018,100.0,100.0,160.3,-60.2,-241,-18.4
1028,100.0,100.0,159.6,-59.5,-241,-18.3
1038,100.0,100.0,156.0,-55.8,-242,-18.3
1048,100.0,100.0,155.4,-55.3,-241,-18.3
1058,100.0,100.0,151.7,-51.6,-242,-18.4
1068,100.0,100.0,151.0,-51.0,-241,-18.3
1078,100.0,100.0,147.5,-47.4,-241,-18.3
1088,100.0,100.0,146.3,-46.3,-241,-18.3
1098,100.0,100.0,143.3,-43.1,-241,-18.3
1108,100.0,100.0,141.3,-42.1,-241,-18.3
1118,100.0,100.0,139.3,-38.7,-241,-18.3
1128,100.0,100.0,136.7,-37.5,-241,-18.3
1138,100.0,100.0,135.9,-34.6,-241,-18.3
1148,100.0,100.0,132.1,-32.6,-241,-18.4
1158,100.0,100.0,131.7,-31.6,-241,-18.3
1168,100.0,100.0,128.2,-28.1,-241,-18.3
1178,100.0,100.0,127.0,-26.8,-241,-18.3
1188,100.0,100.0,123.8,-23.7,-242,-18.4
1198,100.0,100.0,122.9,-22.7,-241,-18.3
1208,100.0,100.0,119.0,-18.9,-242,-18.3
1218,100.0,100.0,118.1,-18.0,-241,-18.3
1229,100.0,100.0,114.5,-14.4,-242,-18.4
1239,100.0,100.0,113.2,-13.3,-241,-18.3
1248,100.0,100.0,110.0,-9.7,-239,-18.3
1258,100.0,100.0,107.8,-8.5,-209,-15.2
1268,100.0,100.0,106.8,-6.6,-186,-14.0
1278,100.0,100.0,104.7,-4.6,-118,-8.7
1288,100.0,100.0,103.5,-3.4,-59,-7.9
1298,100.0,100.0,102.4,-2.3,-22,-6.3
1308,100.0,100.0,101.6,-1.6,-4,-4.9
1319,100.0,100.0,101.1,-1.1,-0,-3.5
1329,100.0,100.0,100.8,-0.8,-0,-2.8
1338,100.0,100.0,100.8,-0.8,-0,-2.8
1348,100.0,100.0,100.8,-0.8,-0,-2.9
1358,100.0,100.0,100.8,-0.8,-0,-2.9
1368,100.0,100.0,100.8,-0.8,-0,-2.9
1378,100.0,100.0,100.8,-0.8,-0,-2.9
1388,100.0,100.0,100.8,-0.8,-0,-2.9
1398,100.0,100.0,100.8,-0.8,-0,-2.9
1408,100.0,100.0,100.8,-0.8,-0,-2.9
1418,100.0,100.0,100.8,-0.8,-0,-2.9
1428,100.0,100.0,100.8,-0.8,-0,-2.9
1438,100.0,100.0,100.8,-0.8,-0,-2.9
1448,100.0,100.0,100.8,-0.8,-0,-2.9
1458,100.0,100.0,100.7,-0.8,-0,-2.9
1468,100.0,100.0,100.8,-0.8,-0,-2.9
1478,100.0,100.0,100.8,-0.8,-0,-2.9
1488,100.0,100.0,100.8,-0.8,-0,-2.9
1498,100.0,100.0,100.8,-0.8,-0,-2.9
1508,100.0,100.0,100.8,-0.8,-0,-2.9
1518,100.0,100.0,100.8,-0.8,-0,-2.9
1529,100.0,100.0,100.8,-0.8,-0,-2.9
1538,100.0,100.0,100.8,-0.8,-0,-2.9
1548,100.0,100.0,100.8,-0.8,-0,-2.9
1558,100.0,100.0,100.8,-0.8,-0,-2.9
1568,100.0,100.0,100.8,-0.8,-0,-2.9
1578,100.0,100.0,100.8,-0.8,-0,-2.9
1588,100.0,100.0,100.8,-0.8,-0,-2.9
1598,100.0,100.0,100.8,-0.8,-0,-2.9
1608,100.0,100.0,100.8,-0.8,-0,-2.9
1618,100.0,100.0,100.8,-0.8,-0,-2.9
1629,200.0,200.0,101.6,98.3,241,18.3
1639,200.0,200.0,101.7,98.3,242,18.3
1648,200.0,200.0,102.0,98.0,242,18.3
1658,200.0,200.0,104.7,95.2,242,18.3
1668,200.0,200.0,106.4,94.4,241,18.3
1678,200.0,200.0,107.2,92.7,241,18.3
1689,200.0,200.0,110.6,89.2,242,18.3
1698,200.0,200.0,112.4,88.0,241,18.4
1708,200.0,200.0,114.4,84.8,241,18.3
1718,200.0,200.0,117.4,83.0,241,18.3
1728,200.0,200.0,118.6,81.3,241,18.3
1738,200.0,200.0,122.0,77.9,241,18.3
1748,200.0,200.0,123.0,76.9,240,18.3
1758,200.0,200.0,126.5,73.4,241,18.3
1768,200.0,200.0,127.6,72.4,241,18.3
1778,200.0,200.0,130.9,69.0,241,18.3
1788,200.0,200.0,132.0,68.2,241,18.4
1798,200.0,200.0,134.7,65.1,241,18.3
1808,200.0,200.0,137.3,63.6,241,18.3
1818,200.0,200.0,138.7,60.4,241,18.3
1829,200.0,200.0,141.3,58.6,241,18.3
1840,200.0,200.0,142.5,56.3,241,18.3
1848,200.0,200.0,145.9,54.0,241,18.3
1858,200.0,200.0,147.0,52.8,241,18.3
1868,200.0,200.0,150.3,49.5,242,18.3
1878,200.0,200.0,151.4,48.5,241,18.3
1888,200.0,200.0,154.7,45.2,241,18.3
1898,200.0,200.0,155.8,44.2,241,18.3
1908,200.0,200.0,158.9,40.9,241,18.3
1918,200.0,200.0,160.8,39.9,241,18.4
1928,200.0,200.0,162.9,36.7,241,18.3
1938,200.0,200.0,165.8,35.0,241,18.3
1948,200.0,200.0,166.3,32.5,241,18.3
1958,200.0,200.0,169.6,30.4,241,18.3
1968,200.0,200.0,170.9,28.1,241,18.3
1978,200.0,200.0,174.2,25.7,242,18.3
1988,200.0,200.0,174.8,25.1,241,18.3
1998,200.0,200.0,178.5,21.4,242,18.3
2008,200.0,200.0,179.0,21.0,241,18.3
2018,200.0,200.0,182.4,17.4,241,18.3
2028,200.0,200.0,183.6,16.7,241,18.3
2039,200.0,200.0,186.5,13.2,241,18.3
2048,200.0,200.0,188.8,12.3,241,18.3
2058,200.0,200.0,189.9,8.9,227,17.9
2068,200.0,200.0,192.3,7.6,213,15.4
2078,200.0,200.0,193.2,6.7,184,14.2
2088,200.0,200.0,192.6,7.0,184,14.0
2098,200.0,200.0,192.8,5.9,131,6.9
2108,200.0,200.0,198.9,1.1,0,1.7
2118,200.0,200.0,199.5,0.4,0,0.6
2128,200.0,200.0,199.7,0.3,0,0.6
2138,200.0,200.0,199.8,0.2,0,0.7
2148,200.0,200.0,199.8,0.2,0,0.7
2158,200.0,200.0,199.8,0.2,0,0.7
2168,200.0,200.0,199.8,0.2,0,0.7
2178,200.0,200.0,199.8,0.2,0,0.7
2188,200.0,200.0,199.8,0.2,0,0.7
2198,200.0,200.0,199.8,0.2,0,0.7
2208,200.0,200.0,199.8,0.2,0,0.7
2218,200.0,200.0,199.8,0.2,0,0.7
2228,200.0,200.0,199.8,0.2,0,0.6
2238,200.0,200.0,199.8,0.2,0,0.7
2248,200.0,200.0,199.8,0.2,0,0.7
2258,200.0,200.0,199.8,0.2,0,0.7
2268,200.0,200.0,199.8,0.2,0,0.7
2278,200.0,200.0,199.8,0.2,0,0.7
2288,200.0,200.0,199.8,0.2,0,0.7
2298,200.0,200.0,199.8,0.2,0,0.7
2308,200.0,200.0,199.8,0.2,0,0.6
2318,200.0,200.0,199.8,0.2,0,0.7
2328,200.0,200.0,199.8,0.2,0,0.7
2338,200.0,200.0,199.8,0.2,0,0.7
2349,200.0,200.0,199.8,0.2,0,0.7
2358,200.0,200.0,199.8,0.2,0,0.7
2368,200.0,200.0,199.8,0.2,0,0.6
2378,200.0,200.0,199.8,0.2,0,0.7
2388,200.0,200.0,199.8,0.2,0,0.7
2398,200.0,200.0,199.8,0.2,0,0.7
2408,200.0,200.0,199.8,0.2,0,0.7
2418,200.0,200.0,199.8,0.2,0,0.7
2428,200.0,200.0,199.8,0.2,0,0.7
2439,100.0,100.0,198.8,-98.6,-241,-18.3
2448,100.0,100.0,198.0,-97.9,-242,-18.3
2459,100.0,100.0,197.9,-97.8,-242,-18.3
2468,100.0,100.0,194.8,-94.7,-242,-18.3
2478,100.0,100.0,193.3,-94.3,-241,-18.3
2488,100.0,100.0,192.5,-92.4,-241,-18.3
2498,100.0,100.0,189.3,-89.2,-242,-18.4
2508,100.0,100.0,187.9,-88.4,-241,-18.3
