#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
9,200.0,200.0,100.8,99.1,239,18.4
18,200.0,200.0,102.8,97.1,242,18.3
28,200.0,200.0,103.4,96.4,242,18.3
38,200.0,200.0,102.6,97.3,241,18.3
48,200.0,200.0,104.3,95.5,241,18.3
58,200.0,200.0,107.8,91.9,241,18.3
68,200.0,200.0,110.1,89.6,241,18.4
78,200.0,200.0,110.6,89.2,238,18.4
88,200.0,200.0,115.0,84.9,241,18.4
99,200.0,200.0,115.3,84.7,238,18.5
108,200.0,200.0,119.2,80.6,241,18.3
118,200.0,200.0,120.4,80.2,240,18.5
128,200.0,200.0,123.5,76.1,241,18.3
138,200.0,200.0,125.9,75.5,240,18.6
148,200.0,200.0,126.2,72.2,239,18.4
158,200.0,200.0,130.4,69.6,241,18.4
168,200.0,200.0,130.6,68.4,238,18.4
178,200.0,200.0,134.5,65.3,241,18.4
188,200.0,200.0,135.2,64.8,236,18.4
198,200.0,200.0,138.8,61.2,241,18.4
208,200.0,200.0,139.5,60.5,241,18.4
218,200.0,200.0,143.1,56.7,241,18.4
228,200.0,200.0,144.0,56.1,239,18.5
238,200.0,200.0,147.3,52.4,240,18.3
248,200.0,200.0,149.6,51.6,241,18.5
258,200.0,200.0,151.4,47.9,241,18.3
268,200.0,200.0,154.1,46.9,240,18.5
278,200.0,200.0,154.8,43.6,238,18.4
288,200.0,200.0,158.6,41.9,241,18.4
298,200.0,200.0,159.0,40.9,239,18.3
308,200.0,200.0,162.8,37.1,241,18.4
318,200.0,200.0,163.4,36.5,237,18.4
328,200.0,200.0,167.1,32.7,241,18.3
338,200.0,200.0,167.6,32.3,241,18.4
348,200.0,200.0,171.3,28.5,241,18.3
358,200.0,200.0,172.3,28.0,239,18.5
368,200.0,200.0,175.5,24.2,240,18.3
378,200.0,200.0,177.7,23.6,241,18.4
388,200.0,200.0,178.8,20.2,240,18.3
398,200.0,200.0,182.0,18.3,241,18.5
408,200.0,200.0,182.4,16.3,238,18.4
418,200.0,200.0,186.1,13.7,241,18.4
428,200.0,200.0,186.8,12.5,239,18.3
438,200.0,200.0,190.3,9.6,241,17.9
448,200.0,200.0,190.8,9.1,214,15.9
458,200.0,200.0,192.8,7.3,191,14.2
468,200.0,200.0,192.8,6.9,178,13.4
478,200.0,200.0,193.4,5.4,185,12.5
488,200.0,200.0,198.3,1.7,0,3.4
498,200.0,200.0,199.2,0.7,0,1.6
509,200.0,200.0,199.6,0.4,0,1.1
518,200.0,200.0,199.7,0.3,0,1.0
528,200.0,200.0,199.7,0.3,0,1.0
538,200.0,200.0,199.7,0.3,0,1.1
548,200.0,200.0,199.7,0.3,0,1.1
558,200.0,200.0,199.7,0.3,0,1.1
568,200.0,200.0,199.7,0.3,0,1.1
578,200.0,200.0,199.7,0.3,0,1.1
588,200.0,200.0,199.7,0.3,0,1.1
598,200.0,200.0,199.7,0.3,0,1.1
608,200.0,200.0,199.7,0.3,0,1.2
618,200.0,200.0,199.7,0.3,0,1.1
628,200.0,200.0,199.7,0.3,0,1.1
638,200.0,200.0,199.7,0.3,0,1.1
648,200.0,200.0,199.7,0.3,0,1.2
658,200.0,200.0,199.7,0.3,0,1.2
668,200.0,200.0,199.7,0.3,0,1.1
678,200.0,200.0,199.7,0.3,0,1.1
688,200.0,200.0,199.7,0.3,0,1.1
698,200.0,200.0,199.7,0.3,0,1.2
709,200.0,200.0,199.8,0.3,0,1.1
718,200.0,200.0,199.7,0.3,0,1.1
728,200.0,200.0,199.7,0.3,0,1.2
738,200.0,200.0,199.7,0.4,0,1.2
748,200.0,200.0,199.7,0.3,0,1.1
758,200.0,200.0,199.7,0.3,0,1.1
768,200.0,200.0,199.7,0.3,0,1.1
778,200.0,200.0,199.7,0.3,0,1.1
788,200.0,200.0,199.7,0.3,0,1.1
798,200.0,200.0,199.7,0.3,0,1.1
809,200.0,200.0,199.7,0.3,0,1.2
819,100.0,100.0,198.5,-98.4,-241,-18.3
828,100.0,100.0,197.7,-97.7,-242,-18.3
838,100.0,100.0,197.7,-97.7,-242,-18.3
848,100.0,100.0,194.5,-95.6,-241,-18.3
858,100.0,100.0,194.2,-94.2,-241,-18.3
868,100.0,100.0,192.2,-90.7,-241,-18.3
878,100.0,100.0,188.8,-88.7,-241,-18.5
888,100.0,100.0,188.1,-88.0,-239,-18.4
898,100.0,100.0,184.5,-84.4,-241,-18.5
908,100.0,100.0,183.8,-83.8,-240,-18.3
918,100.0,100.0,180.3,-80.2,-241,-18.5
928,100.0,100.0,179.5,-79.7,-238,-18.4
938,100.0,100.0,176.4,-76.2,-241,-18.4
948,100.0,100.0,174.3,-75.5,-239,-18.4
958,100.0,100.0,172.5,-71.9,-241,-18.3
968,100.0,100.0,169.9,-71.0,-236,-18.5
978,100.0,100.0,169.6,-67.9,-240,-18.3
988,100.0,100.0,166.0,-66.5,-238,-18.4
998,100.0,100.0,165.5,-64.0,-241,-18.3
1008,100.0,100.0,161.5,-61.4,-241,-18.5
1018,100.0,100.0,161.2,-61.1,-239,-18.3
1028,100.0,100.0,157.1,-57.1,-241,-18.4
1038,100.0,100.0,156.6,-56.5,-240,-18.3
1048,100.0,100.0,153.0,-52.9,-241,-18.5
1058,100.0,100.0,152.5,-52.5,-239,-18.4
1068,100.0,100.0,148.6,-48.5,-241,-18.4
1078,100.0,100.0,147.9,-48.0,-240,-18.4
1088,100.0,100.0,144.0,-43.8,-241,-18.4
1098,100.0,100.0,142.9,-43.7,-239,-18.4
1108,100.0,100.0,140.5,-39.9,-241,-18.3
1119,100.0,100.0,138.0,-39.4,-239,-18.4
1128,100.0,100.0,137.0,-35.4,-241,-18.3
1138,100.0,100.0,133.6,-34.6,-237,-18.5
1148,100.0,100.0,133.1,-31.9,-240,-18.3
1158,100.0,100.0,129.0,-28.9,-240,-18.4
1168,100.0,100.0,128.9,-28.4,-240,-18.3
1178,100.0,100.0,124.4,-24.4,-241,-18.5
1188,100.0,100.0,124.3,-24.1,-239,-18.3
1198,100.0,100.0,120.3,-20.3,-241,-18.4
1208,100.0,100.0,119.7,-19.7,-240,-18.3
1218,100.0,100.0,115.6,-15.5,-241,-18.5
1228,100.0,100.0,115.0,-15.1,-238,-18.4
1238,100.0,100.0,111.2,-11.0,-241,-18.3
1248,100.0,100.0,109.6,-10.5,-234,-16.8
1258,100.0,100.0,108.1,-6.9,-196,-14.9
1268,100.0,100.0,107.1,-6.0,-183,-12.3
1278,100.0,100.0,104.5,-4.4,-107,-9.1
1288,100.0,100.0,103.1,-3.0,-48,-6.2
1298,100.0,100.0,102.0,-2.0,-9,-5.4
1308,100.0,100.0,101.5,-1.5,-0,-4.8
1318,100.0,100.0,101.1,-1.1,-0,-3.5
1328,100.0,100.0,100.8,-0.8,-0,-2.7
1338,100.0,100.0,100.8,-0.8,-0,-2.8
1618,100.0,100.0,100.8,-0.8,-0,-3.0
1629,200.0,200.0,102.3,97.6,241,18.3
1728,200.0,200.0,118.5,80.1,240,18.3
1828,200.0,200.0,139.8,60.0,241,18.3
1928,200.0,200.0,163.3,36.5,241,18.3
2028,200.0,200.0,183.0,16.9,239,18.4
2108,200.0,200.0,198.7,1.2,0,2.4
2148,200.0,200.0,199.7,0.3,0,1.0
2428,200.0,200.0,199.7,0.3,0,1.2
2439,100.0,100.0,198.5,-98.4,-241,-18.3
2538,100.0,100.0,180.4,-80.2,-241,-18.5
2638,100.0,100.0,161.3,-60.4,-239,-18.3
2738,100.0,100.0,139.0,-39.6,-239,-18.4
2838,100.0,100.0,120.3,-20.4,-241,-18.4
2908,100.0,100.0,103.0,-3.0,-52,-6.3
2948,100.0,100.0,100.8,-0.8,-0,-2.6
3238,100.0,100.0,100.8,-0.8,-0,-2.8
3249,200.0,200.0,102.1,97.7,241,18.3
3348,200.0,200.0,120.4,79.3,241,18.4
3448,200.0,200.0,140.6,59.2,236,18.5
3548,200.0,200.0,163.6,37.0,241,18.4
3648,200.0,200.0,184.4,15.3,241,18.3
3728,200.0,200.0,198.8,1.2,0,2.5
3768,200.0,200.0,199.6,0.3,0,1.3
4048,200.0,200.0,199.6,0.4,0,1.4
4059,100.0,100.0,198.6,-98.4,-241,-18.3
4158,100.0,100.0,180.3,-80.2,-241,-18.6
4258,100.0,100.0,161.2,-59.3,-240,-18.3
4358,100.0,100.0,139.7,-39.6,-240,-18.4
4458,100.0,100.0,119.7,-18.1,-241,-18.3
4538,100.0,100.0,102.0,-1.9,-26,-5.2
4578,100.0,100.0,100.7,-0.7,-0,-2.8
4858,100.0,100.0,100.8,-0.8,-0,-2.8
#SWEEP_END
