#WALK_BEGIN secs=1 hz=50 vx=0.0 ids=2-3
t_ms,set2,now2,err2,cur2,duty2,set3,now3,err3,cur3,duty3
0,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
20,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
40,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
60,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
80,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
100,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
120,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
140,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
160,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
180,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
200,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
220,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
240,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
260,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
280,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
300,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
320,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
340,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
360,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
380,100.0,98.0,2.0,120,42.0,48.0,49.0,-1.0,140,45.0
400,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
420,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
440,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
460,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
480,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
500,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
520,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
540,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
560,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
580,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
600,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
620,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
640,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
660,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
680,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
700,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
720,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
740,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
760,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
780,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
800,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
820,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
840,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
860,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
880,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
900,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
920,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
940,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
960,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
980,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1000,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1020,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1040,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1060,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1080,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1100,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1120,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1140,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1160,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
1180,70.0,68.0,2.0,120,42.0,88.0,89.0,-1.0,140,45.0
#WALK_END
