#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
9,200.0,200.0,100.3,99.7,3,60.0
18,200.0,200.0,100.7,99.4,527,46.6
28,200.0,200.0,103.5,96.2,452,47.3
38,200.0,200.0,107.7,92.0,406,50.0
48,200.0,200.0,113.7,86.2,366,51.6
58,200.0,200.0,119.9,79.7,345,52.6
68,200.0,200.0,126.9,72.7,344,53.6
78,200.0,200.0,133.2,66.4,329,53.9
88,200.0,200.0,140.0,59.8,340,53.8
98,200.0,200.0,146.9,52.9,326,54.5
108,200.0,200.0,153.8,45.8,309,54.7
118,200.0,200.0,160.5,39.2,315,54.6
128,200.0,200.0,167.2,32.4,309,54.3
138,200.0,200.0,174.0,25.5,300,54.2
148,200.0,200.0,180.7,18.9,279,50.2
158,200.0,200.0,187.4,12.3,84,36.5
168,200.0,200.0,194.4,4.5,157,13.6
178,200.0,200.0,194.8,4.7,194,13.1
188,200.0,200.0,199.6,0.3,-0,-4.0
199,200.0,200.0,200.8,-0.8,-6,-6.0
208,200.0,200.0,201.0,-1.0,-0,-4.7
218,200.0,200.0,201.0,-1.0,-0,-4.1
228,200.0,200.0,201.0,-1.0,-0,-4.0
238,200.0,200.0,201.0,-1.0,-0,-4.0
248,200.0,200.0,201.0,-1.0,-0,-4.0
258,200.0,200.0,201.0,-1.0,-0,-4.0
268,200.0,200.0,201.0,-1.0,-0,-4.0
278,200.0,200.0,201.0,-1.0,-0,-4.0
288,200.0,200.0,201.0,-1.0,-0,-4.0
298,200.0,200.0,201.0,-1.0,-0,-4.0
309,200.0,200.0,201.0,-1.0,-0,-4.0
318,200.0,200.0,201.0,-1.0,-0,-4.0
329,200.0,200.0,201.0,-1.0,-0,-4.0
338,200.0,200.0,201.0,-1.0,-0,-4.0
348,200.0,200.0,201.0,-1.0,-0,-4.0
358,200.0,200.0,201.0,-1.0,-0,-4.0
368,200.0,200.0,201.0,-1.0,-0,-4.0
378,200.0,200.0,201.0,-1.0,-0,-4.0
388,200.0,200.0,201.0,-1.0,-0,-4.0
398,200.0,200.0,201.0,-1.0,-0,-4.0
409,200.0,200.0,201.0,-1.0,-0,-4.0
418,200.0,200.0,201.0,-1.0,-0,-4.0
428,200.0,200.0,201.0,-1.0,-0,-4.0
438,200.0,200.0,201.0,-1.0,-0,-4.0
448,200.0,200.0,201.0,-1.0,-0,-4.0
458,200.0,200.0,201.0,-1.0,-0,-4.0
468,200.0,200.0,201.0,-1.0,-0,-4.0
478,200.0,200.0,201.0,-1.0,-0,-4.0
488,200.0,200.0,201.0,-1.0,-0,-4.0
498,200.0,200.0,201.0,-1.0,-0,-4.0
508,200.0,200.0,201.0,-1.0,-0,-4.0
519,200.0,200.0,201.0,-1.0,-0,-4.0
528,200.0,200.0,201.0,-1.0,-0,-4.0
538,200.0,200.0,201.0,-1.0,-0,-4.0
548,200.0,200.0,201.0,-1.0,-0,-4.0
558,200.0,200.0,201.0,-1.0,-0,-4.0
568,200.0,200.0,201.0,-1.0,-0,-4.0
578,200.0,200.0,201.0,-1.0,-0,-4.0
588,200.0,200.0,201.0,-1.0,-0,-4.0
598,200.0,200.0,201.0,-1.0,-0,-4.0
608,200.0,200.0,201.0,-1.0,-0,-4.0
619,200.0,200.0,201.0,-1.0,-0,-4.0
628,200.0,200.0,201.0,-1.0,-0,-4.0
638,200.0,200.0,201.0,-1.0,-0,-4.0
648,200.0,200.0,201.0,-1.0,-0,-4.0
658,200.0,200.0,201.0,-1.0,-0,-4.0
668,200.0,200.0,201.0,-1.0,-0,-4.0
678,200.0,200.0,201.0,-1.0,-0,-4.0
688,200.0,200.0,201.0,-1.0,-0,-4.0
698,200.0,200.0,201.0,-1.0,-0,-4.0
708,200.0,200.0,201.0,-1.0,-0,-4.0
719,200.0,200.0,201.0,-1.0,-0,-4.0
728,200.0,200.0,201.0,-1.0,-0,-4.0
738,200.0,200.0,201.0,-1.0,-0,-4.0
748,200.0,200.0,201.0,-1.0,-0,-4.0
758,200.0,200.0,201.0,-1.0,-0,-4.0
