#WALK_BEGIN secs=6 hz=50 vx=100.0 ids=9-8
t_ms,set9,now9,err9,cur9,duty9,set8,now8,err8,cur8,duty8
1,132.7,135.7,-3.0,-117,-9.9,140.1,139.2,0.9,15,5.0
38,131.6,134.3,-2.7,-98,-7.9,135.8,138.4,-2.6,-116,-8.7
46,130.3,134.1,-3.9,-154,-12.1,134.8,138.1,-3.2,-140,-10.3
68,129.0,132.4,-3.3,-120,-9.5,133.7,135.9,-2.2,-91,-6.6
98,131.1,130.4,0.8,2,5.3,135.3,134.0,1.3,79,6.0
107,137.7,130.0,7.7,314,25.8,132.7,133.9,-1.2,-54,-5.2
128,145.1,131.7,13.4,485,43.4,131.4,134.4,-3.0,-134,-10.3
158,152.2,144.7,7.3,130,25.4,139.0,132.6,6.4,338,25.4
166,150.3,148.4,1.8,16,2.6,146.9,133.8,13.0,610,46.1
188,145.6,152.9,-7.1,-280,-23.6,148.8,140.1,8.5,195,32.5
218,142.2,148.0,-5.7,-154,-18.0,146.9,148.0,-1.1,-67,-5.3
226,141.1,146.5,-5.3,-153,-17.4,145.6,148.5,-2.8,-137,-10.4
248,140.1,143.3,-3.1,-111,-8.6,144.3,146.9,-2.5,-108,-8.1
278,137.7,140.8,-3.0,-113,-8.8,141.6,144.5,-2.9,-121,-8.9
286,136.4,140.3,-3.9,-152,-11.8,140.3,143.7,-3.3,-141,-10.4
309,135.3,138.0,-2.7,-96,-7.7,139.3,141.4,-2.1,-87,-6.5
338,132.9,136.2,-3.3,-120,-9.3,136.9,139.4,-2.4,-101,-7.6
346,131.6,135.2,-3.6,-133,-10.6,135.6,138.8,-3.2,-137,-10.2
368,130.3,133.9,-3.5,-131,-10.3,134.8,137.0,-2.1,-86,-6.4
398,127.7,131.2,-3.5,-128,-10.1,132.7,134.7,-2.0,-85,-6.4
406,126.3,130.7,-4.4,-175,-13.7,131.6,134.4,-2.8,-123,-9.2
428,125.0,128.5,-3.5,-126,-9.9,130.6,132.4,-1.8,-72,-5.4
458,127.7,126.1,1.6,12,6.6,132.7,130.5,2.2,123,9.4
466,135.3,125.9,9.5,374,31.0,130.0,130.4,-0.4,-0,-4.2
488,142.7,129.1,13.3,448,42.8,129.0,131.7,-2.7,-124,-9.4
518,151.4,143.1,8.1,148,29.2,138.2,130.4,7.5,390,29.7
526,150.3,146.6,3.2,42,8.5,146.9,131.7,15.0,707,52.9
548,145.6,152.2,-6.7,-271,-22.5,148.8,139.8,9.0,195,34.8
578,142.2,147.9,-5.6,-161,-18.0,146.9,148.4,-1.6,-84,-6.6
588,141.1,146.0,-4.8,-151,-15.2,145.6,148.9,-3.2,-152,-11.2
608,140.1,143.5,-3.3,-118,-9.2,144.3,146.9,-2.6,-106,-7.9
638,137.7,140.9,-3.1,-118,-9.2,141.6,144.6,-2.9,-124,-9.1
646,136.4,140.4,-4.0,-153,-12.0,140.3,143.7,-3.4,-142,-10.5
668,135.3,138.1,-2.8,-98,-7.8,139.3,141.5,-2.2,-88,-6.6
698,132.9,136.3,-3.4,-126,-9.7,136.9,139.3,-2.4,-99,-7.3
706,131.6,135.1,-3.5,-135,-10.6,135.6,138.8,-3.1,-134,-9.9
728,130.3,133.8,-3.5,-131,-10.3,134.8,137.0,-2.1,-86,-6.4
758,127.7,131.2,-3.5,-127,-10.1,132.7,134.7,-2.0,-85,-6.4
768,126.3,130.7,-4.4,-173,-13.5,131.6,134.4,-2.7,-119,-8.9
788,125.0,128.6,-3.6,-128,-10.1,130.6,132.5,-1.8,-73,-5.5
818,127.7,126.1,1.6,12,6.7,132.7,130.5,2.2,123,9.4
826,135.3,126.0,9.5,361,30.0,130.0,130.5,-0.4,-0,-4.4
848,142.7,128.9,13.6,476,44.1,129.0,131.7,-2.7,-124,-9.4
